color,r,g,b
MediumSeaGreen,0.235,0.7,0.444
MediumSlateBlue,0.484,0.408,0.932
MediumSpringGreen,0,0.98,0.604
MediumTurquoise,0.284,0.82,0.8
MediumVioletRed,0.78,0.084,0.52
MidnightBlue,0.098,0.098,0.44
MintCream,0.96,1,0.98
MistyRose,1,0.894,0.884
MistyRose1,1,0.894,0.884
MistyRose2,0.932,0.835,0.824
MistyRose3,0.804,0.716,0.71
MistyRose4,0.545,0.49,0.484
Moccasin,1,0.894,0.71
NavajoWhite,1,0.87,0.68
NavajoWhite1,1,0.87,0.68
NavajoWhite2,0.932,0.81,0.63
NavajoWhite3,0.804,0.7,0.545
NavajoWhite4,0.545,0.475,0.37
Navy,0,0,0.5
NavyBlue,0,0,0.5
OldLace,0.992,0.96,0.9
Olive,0.5,0.5,0
OliveDrab,0.42,0.556,0.136
OliveDrab1,0.752,1,0.244
OliveDrab2,0.7,0.932,0.228
OliveDrab3,0.604,0.804,0.196
OliveDrab4,0.41,0.545,0.132
Orange,1,0.648,0
Orange1,1,0.648,0
Orange2,0.932,0.604,0
Orange3,0.804,0.52,0
Orange4,0.545,0.352,0
OrangeRed,1,0.27,0
OrangeRed1,1,0.27,0
OrangeRed2,0.932,0.25,0
OrangeRed3,0.804,0.215,0
OrangeRed4,0.545,0.145,0
Orchid,0.855,0.44,0.84
Orchid1,1,0.512,0.98
Orchid2,0.932,0.48,0.912
Orchid3,0.804,0.41,0.79
Orchid4,0.545,0.28,0.536
PaleGoldenrod,0.932,0.91,0.668
PaleGreen,0.596,0.985,0.596
PaleGreen1,0.604,1,0.604
PaleGreen2,0.565,0.932,0.565
PaleGreen3,0.488,0.804,0.488
PaleGreen4,0.33,0.545,0.33
PaleTurquoise,0.688,0.932,0.932
PaleTurquoise1,0.732,1,1
PaleTurquoise2,0.684,0.932,0.932
PaleTurquoise3,0.59,0.804,0.804
PaleTurquoise4,0.4,0.545,0.545
PaleVioletRed,0.86,0.44,0.576
PaleVioletRed1,1,0.51,0.67
PaleVioletRed2,0.932,0.475,0.624
PaleVioletRed3,0.804,0.408,0.536
PaleVioletRed4,0.545,0.28,0.365
PapayaWhip,1,0.936,0.835
PeachPuff,1,0.855,0.725
PeachPuff1,1,0.855,0.725
PeachPuff2,0.932,0.796,0.68
PeachPuff3,0.804,0.688,0.585
PeachPuff4,0.545,0.468,0.396
Peru,0.804,0.52,0.248
Pink,1,0.752,0.796
Pink1,1,0.71,0.772
Pink2,0.932,0.664,0.72
Pink3,0.804,0.57,0.62
Pink4,0.545,0.39,0.424
Plum,0.868,0.628,0.868
Plum1,1,0.732,1
Plum2,0.932,0.684,0.932
Plum3,0.804,0.59,0.804
Plum4,0.545,0.4,0.545
PowderBlue,0.69,0.88,0.9
Purple,0.5,0,0.5
Purple0,0.628,0.125,0.94
Purple1,0.608,0.19,1
Purple2,0.57,0.172,0.932
Purple3,0.49,0.15,0.804
Purple4,0.332,0.1,0.545
Red,1,0,0
Red1,1,0,0
Red2,0.932,0,0
Red3,0.804,0,0
Red4,0.545,0,0
RosyBrown,0.736,0.56,0.56
RosyBrown1,1,0.756,0.756
RosyBrown2,0.932,0.705,0.705
RosyBrown3,0.804,0.608,0.608
RosyBrown4,0.545,0.41,0.41
RoyalBlue,0.255,0.41,0.884
RoyalBlue1,0.284,0.464,1
RoyalBlue2,0.264,0.43,0.932
RoyalBlue3,0.228,0.372,0.804
RoyalBlue4,0.152,0.25,0.545
SaddleBrown,0.545,0.27,0.075
Salmon,0.98,0.5,0.448
Salmon1,1,0.55,0.41
Salmon2,0.932,0.51,0.385
Salmon3,0.804,0.44,0.33
Salmon4,0.545,0.298,0.224
SandyBrown,0.956,0.644,0.376
SeaGreen,0.18,0.545,0.34
SeaGreen1,0.33,1,0.624
SeaGreen2,0.305,0.932,0.58
SeaGreen3,0.264,0.804,0.5
SeaGreen4,0.18,0.545,0.34
Seashell,1,0.96,0.932
Seashell1,1,0.96,0.932
Seashell2,0.932,0.898,0.87
Seashell3,0.804,0.772,0.75
Seashell4,0.545,0.525,0.51
Sienna,0.628,0.32,0.176
Sienna1,1,0.51,0.28
Sienna2,0.932,0.475,0.26
Sienna3,0.804,0.408,0.224
Sienna4,0.545,0.28,0.15
Silver,0.752,0.752,0.752
SkyBlue,0.53,0.808,0.92
SkyBlue1,0.53,0.808,1
SkyBlue2,0.494,0.752,0.932
SkyBlue3,0.424,0.65,0.804
SkyBlue4,0.29,0.44,0.545
SlateBlue,0.415,0.352,0.804
SlateBlue1,0.512,0.435,1
SlateBlue2,0.48,0.404,0.932
SlateBlue3,0.41,0.35,0.804
SlateBlue4,0.28,0.235,0.545
SlateGray,0.44,0.5,0.565
SlateGray1,0.776,0.888,1
SlateGray2,0.725,0.828,0.932
SlateGray3,0.624,0.712,0.804
SlateGray4,0.424,0.484,0.545
SlateGrey,0.44,0.5,0.565
Snow,1,0.98,0.98
Snow1,1,0.98,0.98
Snow2,0.932,0.912,0.912
Snow3,0.804,0.79,0.79
Snow4,0.545,0.536,0.536
SpringGreen,0,1,0.498
SpringGreen1,0,1,0.498
SpringGreen2,0,0.932,0.464
SpringGreen3,0,0.804,0.4
SpringGreen4,0,0.545,0.27
SteelBlue,0.275,0.51,0.705
SteelBlue1,0.39,0.72,1
SteelBlue2,0.36,0.675,0.932
SteelBlue3,0.31,0.58,0.804
SteelBlue4,0.21,0.392,0.545
Tan,0.824,0.705,0.55
Tan1,1,0.648,0.31
Tan2,0.932,0.604,0.288
Tan3,0.804,0.52,0.248
Tan4,0.545,0.352,0.17
Teal,0,0.5,0.5
Thistle,0.848,0.75,0.848
Thistle1,1,0.884,1
Thistle2,0.932,0.824,0.932
Thistle3,0.804,0.71,0.804
Thistle4,0.545,0.484,0.545
Tomato,1,0.39,0.28
Tomato1,1,0.39,0.28
Tomato2,0.932,0.36,0.26
Tomato3,0.804,0.31,0.224
Tomato4,0.545,0.21,0.15
Turquoise,0.25,0.88,0.815
Turquoise1,0,0.96,1
Turquoise2,0,0.898,0.932
Turquoise3,0,0.772,0.804
Turquoise4,0,0.525,0.545
Violet,0.932,0.51,0.932
VioletRed,0.816,0.125,0.565
VioletRed1,1,0.244,0.59
VioletRed2,0.932,0.228,0.55
VioletRed3,0.804,0.196,0.47
VioletRed4,0.545,0.132,0.32
Wheat,0.96,0.87,0.7
Wheat1,1,0.905,0.73
Wheat2,0.932,0.848,0.684
Wheat3,0.804,0.73,0.59
Wheat4,0.545,0.494,0.4
White,1,1,1
WhiteSmoke,0.96,0.96,0.96
Yellow,1,1,0
Yellow1,1,1,0
Yellow2,0.932,0.932,0
Yellow3,0.804,0.804,0
Yellow4,0.545,0.545,0
YellowGreen,0.604,0.804,0.196
